operation,activity,hsp2_name,hspf_name
RCHRES,GQUAL,ADQAL1,ADQALSUSPSAND
RCHRES,GQUAL,ADQAL2,ADQALSUSPSILT
RCHRES,GQUAL,ADQAL3,ADQALSUSPCLAY
RCHRES,GQUAL,ADQAL4,ADQALBEDSAND
RCHRES,GQUAL,ADQAL5,ADQALBEDSILT
RCHRES,GQUAL,ADQAL6,ADQALBEDCLAY
RCHRES,GQUAL,ADQAL7,ADQALTOT
RCHRES,GQUAL,DDQAL1,DDQALHYDROL
RCHRES,GQUAL,DDQAL2,DDQALOXID
RCHRES,GQUAL,DDQAL3,DDQALPHOTOL
RCHRES,GQUAL,DDQAL4,DDQALVOLAT
RCHRES,GQUAL,DDQAL5,DDQALBIODEG
RCHRES,GQUAL,DDQAL6,DDQALGEN
RCHRES,GQUAL,DDQAL7,DDQALTOT
RCHRES,GQUAL,DSQAL1,DSQALSAND
RCHRES,GQUAL,DSQAL2,DSQALSILT
RCHRES,GQUAL,DSQAL3,DSQALCLAY
RCHRES,GQUAL,DSQAL4,DSQALTOT
RCHRES,GQUAL,ISQAL1,ISQALSAND
RCHRES,GQUAL,ISQAL2,ISQALSILT
RCHRES,GQUAL,ISQAL3,ISQALCLAY
RCHRES,GQUAL,ISQAL4,ISQALTOT
RCHRES,GQUAL,ROSQAL1,ROSQALSAND
RCHRES,GQUAL,ROSQAL2,ROSQALSILT
RCHRES,GQUAL,ROSQAL3,ROSQALCLAY
RCHRES,GQUAL,ROSQAL4,ROSQALTOT
RCHRES,GQUAL,RSQAL1,RSQALSUSPSAND
RCHRES,GQUAL,RSQAL2,RSQALSUSPSILT
RCHRES,GQUAL,RSQAL3,RSQALSUSPCLAY
RCHRES,GQUAL,RSQAL4,RSQALSUSPTOT
RCHRES,GQUAL,RSQAL5,RSQALBEDSAND
RCHRES,GQUAL,RSQAL6,RSQALBEDSILT
RCHRES,GQUAL,RSQAL7,RSQALBEDCLAY
RCHRES,GQUAL,RSQAL8,RSQALBEDTOT
RCHRES,GQUAL,RSQAL9,RSQALTOTSAND
RCHRES,GQUAL,RSQAL10,RSQALTOTSILT
RCHRES,GQUAL,RSQAL11,RSQALTOTCLAY
RCHRES,GQUAL,RSQAL12,RSQALTOTTOT
RCHRES,GQUAL,SQAL1,SQALSUSPSAND
RCHRES,GQUAL,SQAL2,SQALSUSPSILT
RCHRES,GQUAL,SQAL3,SQALSUSPCLAY
RCHRES,GQUAL,SQAL4,SQALBEDSAND
RCHRES,GQUAL,SQAL5,SQALBEDSILT
RCHRES,GQUAL,SQAL6,SQALBEDCLAY
RCHRES,GQUAL,SQDEC1,SQDECSUSPSAND
RCHRES,GQUAL,SQDEC2,SQDECSUSPSILT
RCHRES,GQUAL,SQDEC3,SQDECSUSPCLAY
RCHRES,GQUAL,SQDEC4,SQDECBEDSAND
RCHRES,GQUAL,SQDEC5,SQDECBEDSILT
RCHRES,GQUAL,SQDEC6,SQDECBEDCLAY
RCHRES,GQUAL,SQDEC7,SQDECBEDTOT
RCHRES,SEDTRN,ISED1,ISEDSAND
RCHRES,SEDTRN,ISED2,ISEDSILT
RCHRES,SEDTRN,ISED3,ISEDCLAY
RCHRES,SEDTRN,DEPSCR1,DEPSCOURSAND
RCHRES,SEDTRN,DEPSCR2,DEPSCOURSILT
RCHRES,SEDTRN,DEPSCR3,DEPSCOURCLAY
RCHRES,SEDTRN,DEPSCR4,DEPSCOURTOT
